time,latitude,longitude,depth,mag,Nearest City,Distance,label
2022-01-11,38.7641,141.9851,46.28,4.4,Sendai,111.9281023888385,False
2022-01-10,36.2233,140.7837,84.74,4.3,Tokyo,114.82554150630854,False
2022-01-10,32.8965,137.7136,339.33,4.2,>200 KM of Nearest City,264.7280905240662,False
2022-01-08,30.9636,142.4295,10.0,4.2,>200 KM of Nearest City,583.7429163543649,False
2022-01-07,40.3651,142.16,54.84,4.1,>200 KM of Nearest City,258.49606435875484,False
2022-01-06,41.5567,131.5079,546.6,4.3,>200 KM of Nearest City,800.0456128310472,False
2022-01-06,33.9131,135.3376,49.08,4.0,Osaka,88.09189381861125,False
2022-01-05,34.279,134.9012,422.86,4.0,Osaka,71.81272178691219,False
2022-01-05,36.0674,140.07,57.63,4.4,Tokyo,54.11228548138334,False
2022-01-04,37.7085,141.5249,61.35,4.5,Sendai,84.73304627844615,False
2022-01-04,31.1622,142.3432,10.0,4.3,>200 KM of Nearest City,560.2616623989685,False
2022-01-02,35.306,140.2173,61.8,4.3,Tokyo,63.89198369665532,False
2022-01-01,35.6856,140.7584,49.35,4.3,Tokyo,96.34110557926554,False
2022-01-01,33.1118,140.4678,98.8,4.4,>200 KM of Nearest City,295.33058499712405,False
2022-01-01,31.4296,142.2466,10.0,4.1,>200 KM of Nearest City,529.4803129090716,False
2021-12-31,31.1148,142.2999,10.0,4.3,>200 KM of Nearest City,563.293084219095,False
2021-12-31,32.187,129.9623,10.0,4.1,Fukuoka,162.74440805590598,False
2021-12-30,30.9772,142.3701,10.0,4.2,>200 KM of Nearest City,579.9881614192377,False
2021-12-30,33.1948,142.5877,10.0,4.5,>200 KM of Nearest City,383.9835983733474,False
2021-12-30,30.918,141.8623,10.0,4.3,>200 KM of Nearest City,567.5665195689309,False
2021-12-30,39.7509,141.9686,64.39,4.7,Sendai,190.52962650253323,True
2021-12-30,35.5975,140.2124,56.97,4.6,Tokyo,48.15309728358939,False
2021-12-29,31.0448,142.3616,10.0,4.6,>200 KM of Nearest City,572.8247285387598,False
2021-12-29,31.2017,142.2274,10.0,4.3,>200 KM of Nearest City,551.6335758549931,False
2021-12-29,35.6629,139.7431,38.45,4.2,Tokyo,5.504125175210545,False
2021-12-28,42.0397,142.5941,62.61,4.3,Obihiro,109.66453194591863,False
2021-12-28,31.6028,142.1975,10.0,4.3,>200 KM of Nearest City,510.13798056341136,False
2021-12-27,35.7477,140.6295,53.98,4.4,Tokyo,84.9133248140822,False
2021-12-27,31.2093,142.2194,10.0,4.5,>200 KM of Nearest City,550.5488446804723,False
2021-12-27,31.1933,142.1166,10.0,4.2,>200 KM of Nearest City,548.1895521823391,False
2021-12-26,32.282,139.5904,10.0,4.3,>200 KM of Nearest City,379.00547821699394,False
2021-12-26,41.9435,142.3073,66.01,4.6,Obihiro,130.93531770936778,False
2021-12-26,31.2058,142.2465,10.0,4.8,>200 KM of Nearest City,551.9766344787723,True
2021-12-26,43.6778,138.4909,253.35,4.0,>200 KM of Nearest City,390.6607895457241,False
2021-12-24,31.5283,141.63,10.0,4.0,>200 KM of Nearest City,496.2632045211971,False
2021-12-23,31.3412,142.2646,10.0,4.4,>200 KM of Nearest City,539.0782101891534,False
2021-12-23,35.6223,141.1246,42.76,4.5,Tokyo,129.67877244113902,False
2021-12-22,31.3707,142.4987,10.0,4.3,>200 KM of Nearest City,546.1073783078667,False
2021-12-22,41.0186,142.3218,51.03,4.4,>200 KM of Nearest City,223.3692074755804,False
2021-12-22,35.2149,141.451,24.97,4.5,Tokyo,167.86514913087072,False
2021-12-22,31.188,142.1941,10.0,4.4,>200 KM of Nearest City,551.7137033753489,False
2021-12-21,31.1064,142.3123,10.0,5.0,>200 KM of Nearest City,564.6358600390877,True
